BBL ,Boro,Block,Lot,Last Block Digit,E,BC,TC,Building Count,DOF Gross Square Footage ,Street Number ,Street Name ,Borough ,Zip Code,NYCHA ,"Multiple Buildings less than 100,000 with one of the buildings on the tax lot greater than 25,000 GSF",Full Address
4008460042,4,846,42,6, ,D1,2,1,"87,376",21-24,31ST ST.,Queens ,11105,,,21-24 31ST ST.
4008460048,4,846,48,6, ,D1,2,1,"87,396",21-38,31ST ST.,Queens ,11105,,,21-38 31ST ST.
4008500380,4,850,380,0, ,E7,4,1,"173,801",31-07,20TH AVE.,Queens ,11105,,,31-07 20TH AVE.
4008580005,4,858,5,8, ,W3,4,1,"325,300",21-21,21 AVENUE,Queens ,11105,,,21-21 21 AVENUE
4008720068,4,872,68,2, ,D4,2,1,"66,100",25-34,CRESCENT ST.,Queens ,11102,,,25-34 CRESCENT ST.
4008840012,4,884,12,4, ,D1,2,1,"72,000",25-63,22ND ST.,Queens ,11102,,,25-63 22ND ST.
4008840065,4,884,65,4, ,I6,4,1,"159,582",26-13,21ST ST.,Queens ,11102,,,26-13 21ST ST.
4008850001,4,885,1,5, ,D1,2,1,"127,338",26,27 AVENUE,Queens ,11363,,,26 27 AVENUE
4008900091,4,890,91,0, ,D1,2,1,"50,100",23-06,21ST ST.,Queens ,11105,,,23-06 21ST ST.
4008907501,4,890,7501,0, ,R0,2,2,"462,235",19-19,24TH AVE.,Queens ,11102,,,19-19 24TH AVE.
4008940030,4,894,30,4, ,C9,2,1,"62,283",20-53,18TH ST.,Queens ,11105,,,20-53 18TH ST.
4008960053,4,896,53,6, ,C9,2,4,"124,710",18-22,21ST AVE.,Queens ,11105,,,18-22 21ST AVE.
4009030007,4,903,7,3, ,D1,2,1,"131,250",26-45,9TH ST.,Queens ,11102,,,26-45 9TH ST.
4009057501,4,905,7501,5, ,R0,2,1,"407,200",25-40,SHORE BLVD.,Queens ,11102,,,25-40 SHORE BLVD.
4009070008,4,907,8,7, ,E9,4,2,"105,500",45021,26TH AVE.,Queens ,11102,,,45021 26TH AVE.
4009080001,4,908,1,8, ,D1,2,1,"112,482",45153,27TH AVE.,Queens ,11102,,,45153 27TH AVE.
4009090001,4,909,1,9, ,D1,2,1,"136,000",45037,27 AVENUE,Queens ,11102,,,45037 27 AVENUE
4009090017,4,909,17,9, ,D3,2,1,"167,109",26-01,4 STREET,Queens ,11102,,,26-01 4 STREET
4009100001,4,910,1,0, ,D7,2,1,"54,906",26-35,3 STREET,Queens ,11102,,,26-35 3 STREET
4009100040,4,910,40,0, ,D6,2,1,"58,420",44996,27 AVENUE,Queens ,11102,,,44996 27 AVENUE
4009120001,4,912,1,2, ,E1,4,1,"53,800",44972,26TH AVE.,Queens ,11102,,,44972 26TH AVE.
4009157501,4,915,7501,5, ,R0,2,1,"556,641",44928,26TH AVE.,Queens ,11102,,,44928 26TH AVE.
4009467501,4,946,7501,6, ,R0,2,152,"557,680",19-90,78TH ST.,Queens ,11370,,,19-90 78TH ST.
4010107501,4,1010,7501,0, ,R0,2,16,"256,485",22-10,79TH ST.,Queens ,11370,,,22-10 79TH ST.
4010160075,4,1016,75,6, ,E1,4,1,"92,344",26-15,BROOKLYN QUEENS EXPY.,Queens ,11377,,,26-15 BROOKLYN QUEENS EXPY.
4010160098,4,1016,98,6, ,E9,4,1,"96,087",26-45,BROOKLYN QUEENS EXPY.,Queens ,11377,,,26-45 BROOKLYN QUEENS EXPY.
4010160125,4,1016,125,6, ,E7,4,1,"102,056",62-05,30TH AVE.,Queens ,11377,,,62-05 30TH AVE.
4010160551,4,1016,551,6, ,E7,4,1,"122,608",24-01,BROOKLYN QUEENS EP W,Queens ,11377,,,24-01 BROOKLYN QUEENS EP W
4010160565,4,1016,565,6, ,E1,4,1,"54,634",24-25,BROOKLYN QUEENS EXPY.,Queens ,11377,,,24-25 BROOKLYN QUEENS EXPY.
4010170065,4,1017,65,7, ,F9,4,1,"58,136",25-44,BOROUGH PL.,Queens ,11377,,,25-44 BOROUGH PL.
4010180002,4,1018,2,8, ,O5,4,1,"117,000",25-20,BOROUGH PLACE,Queens ,11377,,,25-20 BOROUGH PLACE
4010180020,4,1018,20,8, ,F4,4,1,"100,000",25-15,50TH ST.,Queens ,11377,,,25-15 50TH ST.
4010270004,4,1027,4,7, ,K8,4,1,"100,944",71-01,25 AVENUE,Queens ,11370,,,71-01 25 AVENUE
4010270050,4,1027,50,7, ,O5,4,1,"480,000",75-20,ASTORIA BOULEVARD S,Queens ,11370,,,75-20 ASTORIA BOULEVARD S
4010500002,4,1050,2,0, ,W3,4,4,"173,824",25-06,75 STREET,Queens ,11370,,,25-06 75 STREET
4010550038,4,1055,38,5, ,N2,4,1,"67,072",78-01,30TH AVE.,Queens ,11370,,,78-01 30TH AVE.
4010640002,4,1064,2,4, ,W3,4,1,"52,836",86-01,23RD AVE.,Queens ,11369,,,86-01 23RD AVE.
